Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.051858901977539,-0.5388676598952665,-0.5343729843924307,0.033943816725939775,-0.5668369177803911,-0.5187380134044512,-0.6046273743209654,-0.46278286345065806,6.33,7.0,1.934192337902309,5.0,8.0,1.0,9.0,-0.5585131402284341 -0.5739987231860633 -0.6006425412497048 -0.6013730948583902 -0.6377559659455695,1.0 3.0 4.0 5.0 7.0,-0.4964551815034177 -0.5207278303424892 -0.44590657287044216 -0.5237323092327248 -0.5150546499251508
2,0.9738094806671143,-0.5565551950005138,-0.5579649012196799,0.032089089764783287,-0.5766726340104676,-0.5343867742440732,-0.7073677297060941,-0.4814934200213939,5.74,6.0,1.8580635080642427,4.0,7.0,2.0,9.0,-0.5585131402284341 -0.7073677297060941,1.0 2.0,-0.4964551815034177 -0.6068060993609053
3,0.9633920192718506,-0.5634318809932943,-0.5630162195095486,0.03276252044095304,-0.5854278500162486,-0.5434533846551186,-0.7073677297060941,-0.4906514629757912,5.41,5.0,2.1867555876229057,4.0,7.0,1.0,9.0,-0.5585131402284341 -0.7073677297060941,1.0 2.0,-0.4964551815034177 -0.6068060993609053
4,1.0260083675384521,-0.5680073972641345,-0.5705937134309493,0.04620812796322086,-0.5957262510461336,-0.5370860747629926,-0.7073677297060941,-0.42285527734443945,5.38,5.0,2.301217069291813,4.0,7.0,1.0,9.0,-0.5585131402284341 -0.5585131402284341 -0.5585131402284341 -0.7073677297060941 -0.7073677297060941 -0.7073677297060941,1.0 1.0 1.0 2.0 2.0 2.0,-0.4964551815034177 -0.4964551815034177 -0.4964551815034177 -0.6068060993609053 -0.6068060993609053 -0.6068060993609053
5,0.9098861217498779,-0.5716702299847815,-0.5595663903343299,0.05686777159566002,-0.6008251796518762,-0.5285298352292548,-0.7073677297060941,-0.4758038146240978,4.5,4.0,2.5079872407968904,2.0,6.0,1.0,9.0,-0.5836529114787267 -0.5836529114787267 -0.7073677297060941 -0.7073677297060941 -0.7073677297060941 -0.7073677297060941 -0.7073677297060941 -0.7073677297060941,1.0 1.0 2.0 2.0 2.0 2.0 2.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.6068060993609053 -0.6068060993609053 -0.6068060993609053 -0.6068060993609053 -0.6068060993609053 -0.6068060993609053
6,0.9293639659881592,-0.5727933959130451,-0.5628951182982644,0.05266671257651169,-0.6015514565881387,-0.5377988886453205,-0.7085262027715524,-0.4550895635866705,4.04,3.0,2.481612379079376,2.0,5.25,1.0,9.0,-0.5836529114787267 -0.5836529114787267 -0.7085262027715524,1.0 1.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.6053216077677865
7,0.8143229484558105,-0.57261026426254,-0.5585131402284341,0.0686201898209425,-0.5837039796961052,-0.5269137797104014,-0.7199366580507265,-0.4598083610259446,3.21,2.0,2.259623862504554,2.0,4.0,1.0,9.0,-0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.7199366580507265,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.625502463603737
8,0.7984206676483154,-0.572036537859724,-0.5585131402284341,0.0626360143124962,-0.5836529114787267,-0.528507882357586,-0.7073677297060941,-0.46470832111232513,2.66,2.0,1.903785702225962,1.0,4.0,1.0,9.0,-0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.7199366580507265,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.625502463603737
9,0.7666049003601074,-0.5734348948875619,-0.570796560957053,0.05257746444307595,-0.5836529114787267,-0.5463222780944842,-0.7199366580507265,-0.4579921700502448,2.1,2.0,1.4798648586948742,1.0,3.0,1.0,9.0,-0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.7199366580507265,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.625502463603737
10,0.7738213539123535,-0.5718638616326982,-0.5836529114787267,0.049004408672422825,-0.5836529114787267,-0.542146133429015,-0.7199366580507265,-0.47628864523121384,1.98,1.0,1.3414917070187202,1.0,3.0,1.0,6.0,-0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.5836529114787267 -0.7199366580507265 -0.7199366580507265 -0.7199366580507265,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0,-0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.5310632999798021 -0.625502463603737 -0.625502463603737 -0.625502463603737
