Generation,TrainTime,TrainObj1Mean,TrainObj1Median,TrainObj1Std,TrainObj1Q1,TrainObj1Q3,TrainObj1Min,TrainObj1Max,Obj2Mean,Obj2Median,Obj2Std,Obj2Q1,Obj2Q3,Obj2Min,Obj2Max,TrainParetoObj1,ParetoObj2,TestParetoObj1
1,1.5258784294128418,19999999999.484165,-0.5270135467916097,140000000000.0737,-0.541503787073452,-0.5104404268072547,-0.5718654851186576,1000000000000.0,9.0,9.0,2.8106938645110393,7.0,11.0,3.0,14.0,-0.5314239549142459 -0.538252870697199 -0.541843566357714 -0.5445579278572716 -0.5677332875334727 -0.5747320748996043 -0.595200083165671,3.0 4.0 5.0 6.0 7.0 8.0 14.0,-0.4836149313720233 -0.5006151789228273 -0.4794315642121207 -0.5059796217417638 -0.523063719725075 -0.4591383000106878 -0.5305995043362317
2,1.4453139305114746,-0.5386376545325904,-0.5360903148655914,0.027218251802741643,-0.5528501675183665,-0.5238142448270482,-0.651461341020384,-0.4643569898956354,7.73,7.0,3.273698214557964,5.0,10.0,2.0,14.0,-0.5831327743280119 -0.5963489990906673 -0.651461341020384,2.0 3.0 4.0,-0.5498652562303261 -0.6353373657286747 -0.577039037698152
3,1.425309181213379,9999999999.458935,-0.5387493987245928,99498743710.71637,-0.5624037678408356,-0.5285787622146787,-0.7651859343574582,1000000000000.0,6.44,6.0,2.933666647729425,4.0,8.25,2.0,14.0,-0.7651859343574582,2.0,-0.7267495838992087
4,1.3526673316955566,-0.5570903837809749,-0.5489676413022165,0.0457647483753371,-0.571929184404522,-0.530637141906259,-0.6515038513152795,-0.372159528443544,6.04,5.0,3.1620246678354675,4.0,8.0,2.0,14.0,-0.7651859343574582,2.0,-0.7267495838992087
5,1.222473382949829,-0.5645160702722485,-0.5408892887942328,0.06370012697558308,-0.6107429482648475,-0.5252439981575423,-0.7655554119547596,-0.372159528443544,4.12,4.0,2.136726468221892,3.0,5.0,1.0,14.0,-0.650038425427843 -0.7655554119547596,1.0 2.0,-0.5729925469539956 -0.726516430950207
6,1.1772644519805908,-0.59215610538999,-0.5677644061605227,0.07074785530446405,-0.6510748550417408,-0.5354938547233086,-0.7655554119547596,-0.4874053045720622,3.6,4.0,1.489966442575134,2.0,4.0,1.0,8.0,-0.650038425427843 -0.7655554119547596,1.0 2.0,-0.5729925469539956 -0.726516430950207
7,1.2408506870269775,-0.618598069715421,-0.6338888110068803,0.07406525833336622,-0.6514825961678318,-0.5455218754437785,-0.7655554119547596,-0.4547916046307128,3.34,3.0,1.305526713629407,2.0,4.0,1.0,7.0,-0.650038425427843 -0.7655554119547596,1.0 2.0,-0.5729925469539956 -0.726516430950207
8,1.1718080043792725,-0.6095311462855705,-0.6401553035065675,0.07500560031647235,-0.6520443676855767,-0.537829657206443,-0.7651859343574582,-0.36639546198480893,3.27,3.0,1.4822617852457776,2.0,4.0,1.0,8.0,-0.650038425427843 -0.650038425427843 -0.650038425427843 -0.7655554119547596,1.0 1.0 1.0 2.0,-0.5729925469539956 -0.5729925469539956 -0.5729925469539956 -0.726516430950207
9,1.189314603805542,-0.6126472308094209,-0.6481022870217333,0.08405564689119568,-0.6566138637147031,-0.5364639151492865,-0.7658877973088916,-0.43158330997844047,3.13,3.0,1.5208878985645193,2.0,4.0,1.0,7.0,-0.7253164460988498 -0.7658877973088916,1.0 2.0,-0.7067847280702788 -0.7236375524981554
10,1.1597588062286377,-0.6023038735582188,-0.555937228381493,0.0945763755664196,-0.6813596322400521,-0.5228245605473876,-0.7655554119547596,-0.4651658244950303,2.83,2.0,1.5103310895297097,2.0,4.0,1.0,8.0,-0.7283414792516075 -0.7658877973088916,1.0 2.0,-0.7247687204521962 -0.7236375524981554
